Date,City,Value
2012-01-01,N eliya,24
2012-02-01,N eliya,35
2012-03-01,N eliya,41
2012-04-01,N eliya,25
2012-05-01,N eliya,18
2012-06-01,N eliya,58
2012-07-01,N eliya,30
2012-08-01,N eliya,30
2012-09-01,N eliya,21
2012-10-01,N eliya,17
2012-11-01,N eliya,30
2012-12-01,N eliya,13
2012-01-01,Galle,105
2012-02-01,Galle,105
2012-03-01,Galle,161
2012-04-01,Galle,90
2012-05-01,Galle,99
2012-06-01,Galle,221
2012-07-01,Galle,217
2012-08-01,Galle,241
2012-09-01,Galle,78
2012-10-01,Galle,60
2012-11-01,Galle,78
2012-12-01,Galle,58
2012-01-01,Hambantota,58
2012-02-01,Hambantota,66
2012-03-01,Hambantota,45
2012-04-01,Hambantota,37
2012-05-01,Hambantota,31
2012-06-01,Hambantota,59
2012-07-01,Hambantota,51
2012-08-01,Hambantota,78
2012-09-01,Hambantota,33
2012-10-01,Hambantota,53
2012-11-01,Hambantota,60
2012-12-01,Hambantota,33
2012-01-01,Matara,186
2012-02-01,Matara,147
2012-03-01,Matara,155
2012-04-01,Matara,94
2012-05-01,Matara,84
2012-06-01,Matara,147
2012-07-01,Matara,186
2012-08-01,Matara,241
2012-09-01,Matara,141
2012-10-01,Matara,196
2012-11-01,Matara,158
2012-12-01,Matara,100
2012-01-01,Jaffna,91
2012-02-01,Jaffna,40
2012-03-01,Jaffna,43
2012-04-01,Jaffna,24
2012-05-01,Jaffna,27
2012-06-01,Jaffna,34
2012-07-01,Jaffna,26
2012-08-01,Jaffna,36
2012-09-01,Jaffna,41
2012-10-01,Jaffna,143
2012-11-01,Jaffna,205
2012-12-01,Jaffna,184
2012-01-01,Killinochchi,8
2012-02-01,Killinochchi,2
2012-03-01,Killinochchi,5
2012-04-01,Killinochchi,3
2012-05-01,Killinochchi,19
2012-06-01,Killinochchi,16
2012-07-01,Killinochchi,8
2012-08-01,Killinochchi,11
2012-09-01,Killinochchi,6
2012-10-01,Killinochchi,2
2012-11-01,Killinochchi,5
2012-12-01,Killinochchi,8
2012-01-01,Mannar,38
2012-02-01,Mannar,16
2012-03-01,Mannar,10
2012-04-01,Mannar,9
2012-05-01,Mannar,6
2012-06-01,Mannar,15
2012-07-01,Mannar,19
2012-08-01,Mannar,11
2012-09-01,Mannar,2
2012-10-01,Mannar,6
2012-11-01,Mannar,21
2012-12-01,Mannar,33
2012-01-01,Vauniya,13
2012-02-01,Vauniya,5
2012-03-01,Vauniya,5
2012-04-01,Vauniya,2
2012-05-01,Vauniya,5
2012-06-01,Vauniya,2
2012-07-01,Vauniya,3
2012-08-01,Vauniya,16
2012-09-01,Vauniya,20
2012-10-01,Vauniya,13
2012-11-01,Vauniya,9
2012-12-01,Vauniya,11
2012-01-01,Mulative,2
2012-02-01,Mulative,1
2012-03-01,Mulative,1
2012-04-01,Mulative,1
2012-05-01,Mulative,3
2012-06-01,Mulative,4
2012-07-01,Mulative,5
2012-08-01,Mulative,3
2012-09-01,Mulative,2
2012-10-01,Mulative,0
2012-11-01,Mulative,6
2012-12-01,Mulative,14
2012-01-01,Battocolo,263
2012-02-01,Battocolo,116
2012-03-01,Battocolo,91
2012-04-01,Battocolo,32
2012-05-01,Battocolo,35
2012-06-01,Battocolo,32
2012-07-01,Battocolo,11
2012-08-01,Battocolo,21
2012-09-01,Battocolo,7
2012-10-01,Battocolo,26
2012-11-01,Battocolo,36
2012-12-01,Battocolo,47
2012-01-01,Ampara,18
2012-02-01,Ampara,6
2012-03-01,Ampara,4
2012-04-01,Ampara,9
2012-05-01,Ampara,21
2012-06-01,Ampara,15
2012-07-01,Ampara,29
2012-08-01,Ampara,13
2012-09-01,Ampara,9
2012-10-01,Ampara,11
2012-11-01,Ampara,14
2012-12-01,Ampara,6
2012-01-01,Trincomalee,23
2012-02-01,Trincomalee,23
2012-03-01,Trincomalee,26
2012-04-01,Trincomalee,6
2012-05-01,Trincomalee,8
2012-06-01,Trincomalee,16
2012-07-01,Trincomalee,8
2012-08-01,Trincomalee,13
2012-09-01,Trincomalee,7
2012-10-01,Trincomalee,5
2012-11-01,Trincomalee,15
